index, prediction
0,10 gram
1,10 gram
2,10 gram
3,10 gram
4,10 gram
5,19.5 centimetre
6,16 centimetre
7,16 centimetre
8,16 centimetre
9,10 gram
10,60 inch
11,15 centimetre
12,15 centimetre
13,10 gram
14,10 gram
15,10 gram
16,10 gram
17,10 gram
18,19 centimetre
19,19 centimetre
20,19 centimetre
21,10 gram
22,12 centimetre
23,10 gram
24,24.8 centimetre
25,10 gram
26,10 gram
27,10 gram
28,10 gram
29,24 inch
30,5.5 inch
31,12 centimetre
32,12 centimetre
33,12 centimetre
34,305 millimetre
35,7 centimetre
36,7 centimetre
37,6.5 centimetre
38,6.5 centimetre
39,10 gram
40,26.6 centimetre
41,26.6 centimetre
42,26.6 centimetre
43,50 centimetre
44,50 centimetre
45,10 gram
46,28 centimetre
47,10.0 gram
48,10 gram
49,1.6 centimetre
50,10 gram
51,10 gram
52,10 gram
53,10 gram
54,10 gram
55,10 gram
56,5 centimetre
57,10 gram
58,10 gram
59,8.1 centimetre
60,10 gram
61,10 gram
62,10 gram
63,10 gram
64,23 centimetre
65,23 centimetre
66,40 centimetre
67,600 millimetre
68,10 gram
69,10 gram
70,10 gram
71,10 gram
72,3.0 centimetre
73,3.0 centimetre
74,25 centimetre
75,150 centimetre
76,150 centimetre
77,10 gram
78,10 gram
79,10 gram
80,10 gram
81,106.0 centimetre
82,198.0 centimetre
83,1.38 centimetre
84,200.0 millimetre
85,10 gram
86,10 gram
87,1678 millimetre
88,305 millimetre
89,10 gram
90,10 gram
91,10 gram
92,10 gram
93,10 gram
94,10 gram
95,10 gram
96,10 gram
97,10 gram
98,8 centimetre
99,8 centimetre
100,8 centimetre
101,110.0 millimetre
102,10 gram
103,152 centimetre
104,58 centimetre
105,8 centimetre
106,42 centimetre
107,42 centimetre
108,42 centimetre
109,10 gram
110,10 gram
111,10 gram
112,10 gram
113,72 centimetre
114,72 centimetre
115,10 gram
116,8.0 metre
117,10 gram
118,10 gram
119,10 gram
120,6.81 inch
121,12 centimetre
122,12 centimetre
123,10 gram
124,10 gram
