index, prediction
0,10 gram
1,10 gram
2,10 gram
3,4.5 pound
4,10 gram
5,10 gram
6,10 gram
7,10 gram
8,10 gram
9,144 centimetre
10,10 gram
11,10 gram
12,10 gram
13,10 gram
14,10 gram
15,10 gram
16,10 gram
17,10 gram
18,10 centimetre
19,10 centimetre
20,29.9 inch
21,100 centimetre
22,100 centimetre
23,10 gram
24,137 centimetre
25,0.3 millimetre
26,0.3 millimetre
27,145 millimetre
28,145 millimetre
29,10 gram
30,10 gram
31,10 gram
32,10 gram
33,10 gram
34,10 gram
35,212.0 millimetre
36,212.0 millimetre
37,10 gram
38,10 gram
39,10 gram
40,10 gram
41,220.0 metre
42,220.0 metre
43,220.0 metre
44,26 centimetre
45,10 gram
46,420.0 millimetre
47,100 centimetre
48,7.1 inch
49,7.1 inch
50,27 centimetre
51,27 centimetre
52,6 centimetre
53,6 centimetre
54,10 gram
55,175 millimetre
56,175 millimetre
57,100 gram
58,900.0 metre
59,4.6 centimetre
60,8.66 inch
61,50 centimetre
62,10 gram
63,10 gram
64,10 gram
65,10 gram
66,6.0 foot
67,10 gram
68,10 gram
69,10 gram
70,10 gram
71,1250 millimetre
72,150.0 centimetre
73,10 gram
74,10 gram
75,10 gram
76,8.2 centimetre
77,8.2 centimetre
78,62.0 millimetre
79,62.0 millimetre
80,10 gram
81,10 gram
82,10 gram
83,152 centimetre
84,152 centimetre
85,42.0 inch
86,42.0 inch
87,170 centimetre
88,170 centimetre
89,67 inch
90,60 millimetre
91,4.5 inch
92,4.5 inch
93,10.2 inch
94,32 centimetre
95,34 centimetre
96,10 gram
97,87 centimetre
98,10 centimetre
99,10 centimetre
100,14.5 centimetre
101,15.0 centimetre
102,10 gram
103,10 gram
104,10 gram
105,10 gram
106,10 gram
107,10 gram
108,10 gram
109,10 gram
110,10 gram
111,10 gram
112,10 gram
113,2 pound
114,60 centimetre
115,10 gram
116,10 gram
117,8297 millimetre
118,10 gram
119,10 gram
120,8.5 millimetre
121,974 centimetre
122,5.3 centimetre
123,18.3 centimetre
