image_id,image_link,group_id,entity_name,text
121937,https://m.media-amazon.com/images/I/81RqhR7EfOL.jpg,459516,item_volume,"NBENEFITS

A timeless herb used
worldwide for aiding
stress and for sleep

Herbal Supplement __ur), Trusted Since 1910

A
BOTANIC [
. CHOICE® ':
STEXIRACT

PASSION FLOVIE

T
s z

Lt
245

These statements have not been evaluated by the Food & Drug Administration.
These products are not intended to diagnose, treat, cure, or prevent any disease.

"
121938,https://m.media-amazon.com/images/I/815yRhPpb-L.jpg,518578,item_weight,"GEPRUFTE
QUALITAT

-
|
)]

HOHE
BELASTBARKEIT

\, DOPPELTE
ABSENKAUTOMATIK

ANTI-
BAKTERIELL

KRATZFESTE
OBERFLACHE

EINFACHE
MONTAGE

"
121939,https://m.media-amazon.com/images/I/71vfogdt54L.jpg,866516,item_weight,"vy '

"
121940,https://m.media-amazon.com/images/I/41Bj7t7ImML.jpg,120569,item_weight,"Hybrid

Helps to control halitosis

"
121941,https://m.media-amazon.com/images/I/71Lzr3uoKuL.jpg,844474,item_weight,"Viel Platz fiir den Schulalltag

47 cm
29 Liter
1300 Gramm
Platz fiir 5
R 7| Entworfen fiir
DIN A4 Hefte, J
I& N Ordner und mehr Schule & Alltag
"
121942,https://m.media-amazon.com/images/I/71li2aXgqTL.jpg,524635,item_weight,"MENTAL RELAX // 30 CAPSULE

INGREDIENTI: WITHANIA SOMNIFERA (L.)
DUNAL RADICE ESTRATTO SECCO TIT.
WITHANOLIDI 1,5%, CAPSULA VEGETALE:
IDROSSIPROPILMETILCELLULOSA
(IPROMELLOSA); BACOPA MONNIERI (L.)
WETTST PIANTA INTERA ESTRATTO
SECCO TIT. BACOSIDI 20%, CRATAEGUS
MONOGYNA JACQ. FOGLIE E FIORI
ESTRATTO SECCO TIT. FLAVONOIDI 1%,
AGENTE DI CARICA: CELLULOSA

MICROCRISTALLINA.
COMPOSIZIONE
ASHWAGANDHA........ooooiiririrrnns. 250 mg
BACOPA MONNIERL..........cccoonninne. 100 mg
BIANCOSPINO. .....oooviviiriniiininan. 100 mg

DOSE GIORNALIERA RACCOMANDATA: SI
CONSIGLIA L'ASSUNZIONE DI UNA (1)
CAPSULA AL GIORNO, PREFERIBILMENTE
DOPO IL PASTO, CON UN PO’ DI ACQUA.

ADATTO Al VEGANI

SENZA GLUTINE

SENZA LATTOSIO

N

SENZA 0GM
"
121943,https://m.media-amazon.com/images/I/4101OojGT7L.jpg,308856,item_weight,
121944,https://m.media-amazon.com/images/I/510QjpUaf0L.jpg,369753,item_volume,"BALANCE""

ACTIVE FORMULA

Niacinamide
SOOTHING SHEET MASK

CALM & CLEAR

with NIACINAMIDE

v SOOTHES AND CLARIFIES BLEMISHED SKIN
v/ REDUCES APPEARANCE OF BLEMISHES

v REFINES SKIN TONE AND TEXTURE

1x25ml/0.85fl.0z. €

"
121945,https://m.media-amazon.com/images/I/61bO0Q4waDL.jpg,369753,item_volume,"AFTER 2 WEEKS*

95% -

AGREE SKIN

IS CLARIFIED BALANGE""
1% Y s
0
AGREE SKIN TEXTURE e
AND TONE IS REFINED Niacinamide
0 CALM & CLEAR
AGREE BLEMISHES WERE

REDUCED FOR A RELI T

CLEARER COMPLEXION

*BASED ON A2 WEEK USER TRIAL OF 100 PEOPLE
"
121946,https://m.media-amazon.com/images/I/51r24hNWAsL.jpg,369753,item_volume,") o3

5 ...nnc»mssnyxs o3
S of Slowst®

JoNE mukuus

N

"
121947,https://m.media-amazon.com/images/I/81UiGGkTQkL.jpg,192132,item_weight,"A e s B T e T

o=
"
121948,https://m.media-amazon.com/images/I/71V56KK96FL.jpg,860821,wattage,
121949,https://m.media-amazon.com/images/I/81Kyq1wJtAL.jpg,459516,item_volume,"= :

CAUTION: Consult a healthcare practitioner prior to use if you are
aking immunosuppressants, or if you have an autoimmune disorder
ora progressive systemic disease such as: tuberculosis, collagenosis,
AIDS and/or HIV infection or multiple sclerosis.

Rare cases of severe allergic reactions have been known to occur;
use caution if you are allergic to plants of the Daisy family.

Do not use in case of known allergy to any of the ingredients in

he product. Consult a healthcare practitioner if symptoms persist

or worsen.
Do not use if safety seal is broken. Keep out of reach of children.

MISE EN GARDE : Consulter un professionnel de la santé avant
‘utilisation si vous prenez des iﬂmunOSJppresseJrs, ou si vous
souffrez d'une maladie auto-immune ou d’'une maladie systémique
progressive comme: la tuberculose, la collagénose, le sida et/ou une
infection au VIH ou la sclérose en plaques.

De rares cas de réactions allergiques séveres peuvent se manifester;
aire preuve de prudence si vous étes allergique aux plantes de la
amille des marquerites.
e pas prendre en cas d’allergie connue aux ingrédients du produit.
Si les symptomes persistent ou s‘aggravent, consulter un professionnel
de la santé.

Ne pas utiliser si le sceau de sécurité est brisé.

Garder hors de la portée des enfants.

W% www.avogel.ca
1-800-361-6320 - info@bioforce.ca

MANU. BY/PAR: Bioforce AG, CH-9325 Roggwil, Switzerland/Suisse
DIST. BY/PAR: Bioforce Canada Inc., Montreal, Canada, H9B 213

"
121950,https://m.media-amazon.com/images/I/61wKlJ2X-KL.jpg,884560,item_volume,
