image_id,image_link,group_id,entity_name,text
52127,https://m.media-amazon.com/images/I/71qTH65I0JL.jpg,730429,item_weight,"SOSES(/ OIS
MANUAL BRIGHTNESS AUTOBRIGHTNESS  REMOTE CONTROL DUAL ALARMS DATE& WEEK

= I @ ® &

16"" SCREEN 12/24 HOUR STOP WATCH WALL OR TABLE ,

15inchr
"
52128,https://m.media-amazon.com/images/I/715WlgrdBxL.jpg,730429,item_weight,"No stand, but enough to be placed
flat on the dresser or nightstand.| 5|

- AOINOW A 1,

"
52129,https://m.media-amazon.com/images/I/714G1AbSahL.jpg,487566,item_weight,"& 2 ®

BREATHABLE SKIN-FRIENDLY SOFT MACHINE
WASHABLE

"
52130,https://m.media-amazon.com/images/I/71xdp3l3-aL.jpg,179080,item_weight,"Recommended Height

Load Capacity
MAX 330LBS

Bicyde weight

I

[&)
£
5
o
E

£

O
o
(32}
2

LKLY R Ty Ay LA ey e Ay e e A T T AT A

LA LAy Ry R R ATy R R N LR T Ry e e Ay e e e e e e e T T i

174cm/68.5inch

"
52131,https://m.media-amazon.com/images/I/61bfwa6G1BL.jpg,334327,item_weight,"| [

Add 500g to the base

Base weight increased for
greater stability
"
52132,https://m.media-amazon.com/images/I/71AIoYj-CFL.jpg,630869,item_weight,"Length: ~— ""« Pure Coppe
2.76inch (7em)
/

3500 Gauss
Magnets

Weight: 5¢

/'\ A

Length: 8.07inch(20.5¢m)
"
52133,https://m.media-amazon.com/images/I/71OzCeSHtPL.jpg,550840,item_weight,"Kids Smart Watch

Camera

alll 06710 mon

2010/06/10 Mon ,:
"
52134,https://m.media-amazon.com/images/I/71hxuAgpuJL.jpg,487566,item_weight,"Winter Duo
_ Fullung: 2x800g

2 Lagen
Alpakavlies

Baumwollbezug
Alpakawolle
Luftschicht
Alpakawolle
Baumwollbezug

"
52135,https://m.media-amazon.com/images/I/71XxvTJ6tIL.jpg,609802,item_weight,"X-DESTROYER HARNESS HOW TO MEASURE
SIZING CHART YOUR DOG

O Measure Here
B Don't Measure Here

SIZE

@ woorn | e | ws | aw
© seSTOR |y | ey | arar |

Ouwowmen | 5 | | w
@ BELLYWIDTH wr | e | w2 |
| mowcrveer | amow | mw | aw |

"
52136,https://m.media-amazon.com/images/I/71Oul3TAnLL.jpg,296366,item_weight,"Cable:1.8m

"
52137,https://m.media-amazon.com/images/I/51BG6Dmfi9L.jpg,523149,item_weight,"'\/
PRODUCT
INFORMATION

Cubic zirconia

Rhodium Plated

CZ: 2x2mm/ Weight: About 1.8 g

Notice:Manual measurement,there may be a little tiny difference!
"
52138,https://m.media-amazon.com/images/I/71BLDJdaGGL.jpg,748919,item_weight,"AUTHENTIC ITAL

\MPORTED FROM ITALY

(-w

tomates séchées au soleil dans I'huile

NET WT 10.6 oz / POIDS NET 3009 €
DRWT 5.3 0z / POIDS NET EGOUTTE 1509 €

"
52139,https://m.media-amazon.com/images/I/81bfLfN6GLL.jpg,281678,item_weight,"ALPI NATURE
-EST.2009%-

| RAVSERRY (64 T/ TIOWE FRUDLES B€ FRAVBOTSIER/ INUSO ALLE FOGLE Y LAMPONE/ DNEN 0 FORS U FRANRLESH FRAVRIUDNLIO THE
| ETRO00ET GESOATTTN FRIED O HFA/ HATE SO TGOS FAVI ESSELA, DLDANACERSA SEEA € CORION GEOROORD, NN

‘ NECAN

"
52140,https://m.media-amazon.com/images/I/81m1sjoTpiL.jpg,281678,item_weight,"| ALPI NATURE

-EST.2009-

RASPBERRY LEAF TEA/ TISANE FEUILLES DE FRAMBOISIER! INFUSO ALLE FOGUIE DI LAMPONE
INFUSION DE HOJAS DE FRAMBUESA/ FRAMBOZENBLAD THEE

ORB QT HERR/ PLANTE SEGHE ET COUPEE/ PIANTA ss«uu,lmwmmmmmww

ALPI NATURE
-EST.2009-

IMBEERBLATTERTES

FASSERRY 6N o/ TINE FULLES 0 FAVGOER NSO ALEFORLE O WP DNUSEN 6 HOS 5 FLAVRESH EAOEDNLD TE
CETROBNET GSONTITOV U5 41 R/ PUNTE SECR ET GBS FAND SO RN/ S04 € COUIW/ D, 9600

ﬁ

"
52141,https://m.media-amazon.com/images/I/41wswEmkTtL.jpg,524635,item_weight,"ACIDITA EREFLuSS
"
52142,https://m.media-amazon.com/images/I/71wcyfQxdBL.jpg,969033,maximum_weight_recommendation,"On the -

Up to 40 lbs
30%x20%2.5 inch v v
76x51%6 cm T —
Up to 60 lbs
35%23x2.5inch v v
EPEG O T
Up to 65 Ibs
L 36x27%2.5inch X v
921x68%x6 cm T .
Up to 85 Ibs
41x27%2.5inch v v
104x68x6 cm \
Up to 90 lbs
44x32%2.5 inch - v
112x81x6 cm '
_
47x29%2.5 inch Up to 100 lbs
X X
XXL-Crate o INE v 7
120x74x6 cm —
50%36%2.5 inch Up to 120 lbs
127x91x6 cm X v

"
52143,https://m.media-amazon.com/images/I/51zVX0X1R+L.jpg,523149,item_weight,"$925 Silver

3,77,);/

e Weight: 2.0g
e Size info for Reference ONLY, Difference may be.
"
