index, prediction
0,10 gram
1,10 gram
2,10 gram
3,10 gram
4,10 gram
5,10 gram
6,11.5 centimetre
7,11.5 centimetre
8,10 gram
9,10 gram
10,10 gram
11,10 gram
12,43.0 centimetre
13,43.0 centimetre
14,2.0 metre
15,2.0 metre
16,0.2 millimetre
17,10 gram
18,10 gram
19,10 gram
20,12 centimetre
21,12 centimetre
22,74 foot
23,23.0 centimetre
24,10 gram
25,10 gram
26,324 millimetre
27,10 gram
28,10 gram
29,33 inch
30,40.5 centimetre
31,40.5 centimetre
32,300 millimetre
33,102.0 centimetre
34,10 gram
35,10 gram
36,10 gram
37,10 gram
38,10 gram
39,10 gram
40,26 centimetre
41,26 centimetre
42,26 centimetre
43,54 millimetre
44,54 millimetre
45,10 gram
46,10 gram
47,11.8 centimetre
48,22.0 centimetre
49,55.0 centimetre
50,55.0 centimetre
51,185.0 inch
52,185.0 inch
53,40.0 centimetre
54,40.0 centimetre
55,10 gram
56,500 metre
57,500 metre
58,500 metre
59,2 centimetre
60,2 centimetre
61,2 centimetre
62,10 gram
63,10 gram
64,500 metre
65,500 metre
66,200 centimetre
67,6.0 centimetre
68,6.0 centimetre
69,10 gram
70,10 gram
71,15.5 centimetre
72,15.5 centimetre
73,22.0 centimetre
74,22.0 centimetre
75,35 millimetre
76,35 millimetre
77,10 gram
78,10 gram
79,6 pound
80,21.6 centimetre
81,10 gram
82,10 gram
83,10 gram
84,32 centimetre
85,32 centimetre
86,32 centimetre
87,10 gram
88,10 gram
89,10 gram
90,10 gram
91,10 gram
92,10 gram
93,10 gram
94,10 gram
95,2.0 centimetre
96,13.5 centimetre
97,1.5 inch
98,9.3 centimetre
99,9.3 centimetre
100,9.3 centimetre
101,10 gram
102,10 gram
103,150 millimetre
104,2 metre
105,2 metre
106,10 gram
107,10 gram
108,3.9 millimetre
109,3.9 millimetre
110,3.9 millimetre
111,20.86 centimetre
112,60.0 millimetre
113,44.0 centimetre
114,41 centimetre
115,41 centimetre
116,16.0 centimetre
117,10 gram
118,10 gram
119,10 gram
