image_id,image_link,group_id,entity_name,text
104447,https://m.media-amazon.com/images/I/61j3wifyzNL.jpg,487566,item_weight,"N testsieger.de

o’
Third of Life 117

12/2021

Redaktionswertung

~; INNOVATIONSPREIS e INNOVATIONSPREIS
ERGONOMIE 2021 ERGONOMIE 2022

"
104448,https://m.media-amazon.com/images/I/61KPX2ORAVL.jpg,120569,item_weight,"Supplement Facts

Amount Per Capsule

I'm-Yunity® extract
Coriolus versicolor (mycelia)
with standardized ingredient
polysaccharopeptide (PSP)
-Polysaccharide content
not less than 38%

-Peptide content not less
than 11 .5%

t Daily Value (DV) not established.
"
104449,https://m.media-amazon.com/images/I/61RVDY1JmSL.jpg,483370,item_weight,
104450,https://m.media-amazon.com/images/I/71AaQ6vz2lL.jpg,483370,item_weight,"lloy

2
mu
g
% | 8
g2 | %
£ %
2| 8

g

friendly
Weight 453 grams

"
104451,https://m.media-amazon.com/images/I/51MncKNzLhL.jpg,299791,item_weight,"o
y
,0
Y

Length of necklace:
60cm(24 inches)
Width: 2.5mm %

—Thickness: 3.5mm

316L Stainless Steel
Lasting Color Retention

52mm
(2.04 inches)

9J9H IX3] JINOA

30mm
(1.18 inches)

Net weight: 43.7g
"
104452,https://m.media-amazon.com/images/I/61DgLYk8A9L.jpg,709627,item_weight,"_|_

CR2450
Lithium Cell
N 3V

N\

5 MM 24 MM 24 MM

CR2450
A Lithium Cell
3V

Batterien Parameter

Marke: GutAlkaLi GroRe: 24mm * 5Smm
Name: Knopfbatterie CR2450 Spannung: 3V

Typ: CR2450 Gewicht: 6.5g

Spezifikationen: 20 Stiick CR2450 Chemisches System: Lithium-Mangan-Oxid

Kapazitat: 620mAh Lebensdauer der Batterien: 5 Jahre
"
104453,https://m.media-amazon.com/images/I/41R5IvgH4vL.jpg,375816,item_weight,
104454,https://m.media-amazon.com/images/I/71zRhohoXCL.jpg,523149,item_weight,"D /&""/’
Stainless steel % Py

AAA’ Zircon

3.1cm
(1.22inches)

4.7cm
(1.85inches)

Chain length:60cm(24inches)
Net Weight: 21.3g (pendant+chain)
"
104455,https://m.media-amazon.com/images/I/61zJ26JGZUL.jpg,124643,wattage,
104456,https://m.media-amazon.com/images/I/61zq3ciJTBL.jpg,124643,wattage,
104457,https://m.media-amazon.com/images/I/61ID99e9ZzL.jpg,124643,wattage,"Equipment Name: Ozone Generator Ozone Source: 3L/min Air Source

Ozone production: 1000mg/h product model: AZ-1000MG-G
Input power: AC220V/5017 device power: 10W
Above water level or with check valves to prevent backflow into the machine

Payattention to cooling. It is recommended that within 60 minutes,
prolonged use will lead to damage.

"
104458,https://m.media-amazon.com/images/I/41Fa2fsfADL.jpg,124643,wattage,"DIMENSIONING

woy/4aue T

w0T/Ydul6'E

6.1inch/15.5cm

3kvasky

"
104459,https://m.media-amazon.com/images/I/71SG4OByw2L.jpg,507467,item_weight,"'E @ ﬂ Switch Button
200 6-8 45 ,

RANGE HOUR G
Durable
Slip Proof
Aluminum Body

Battery Holder

. each Fashlight Requires
. 3 AAA Batteries (included)
"
104460,https://m.media-amazon.com/images/I/81OBLhzR0LL.jpg,881883,item_weight,"Blickdicht: Larmereduzierung: Weicher Hand-beriihrend:
Helle Farben zu 90% lichtundurchlassig Dl Ddmmen die AuBengerdusche und Larm W matte & luftdurchldssig Stoff

Die dunklen Farben zu 95%

Thermo Design: Einfach Pflegen: Gesund

Bieten eine vollstédndige kdlte-und w Bis 30 Grad . .
warmeabweisende Raume L I Umweltfreudlich

"
104461,https://m.media-amazon.com/images/I/81aPXMFY4WL.jpg,459516,item_weight,"_
Complemento alimenticio a base de maca negra en polvo &w Ingredientes (por 3 cdpsulas) Maca negra en

de agricultura ecolégica en capsula vegetal. Cantidad neta ‘ E(O WASSY polvo (Lepidum meyenii Walp, raiz de maca)

120 cpsulas =80 g i o s
Dosis diaria recomendada. 3 capsulas al dia. 1605 mg proceden!:e .de agricultura ecoldgica
y agente de recubrimiento

Modo de empleo. Consumir 3 cdpsulas al dia con ayuda de
(hidroxipropilmetilcelulosa).

liquido.

Advertencias. No superar la toma diaria recomendada. Los p—

complementos alimenticios no deben utilizarse como - .

sustituto de una dieta variada y equilibrada y un estilo de Ingrefilentt.?; (para 3 cc.l.psufas) Maja et

vida saludable. Mantener fuera del alcance de los nifios mas em po (Lepi um.meyenii l/.Va,p,.ra/z e maca)
1605 mg de agricultura bioldgica e agente de

revestimento (hidroxipropilmetilcelulose).

pequefios.

Producto 100% vegetaly apto para veganos.
Almacenar en lugar fresco y seco.

Lote/Consumir preferentemente antes del fin de:

%
I
S ———
Suplemento alimentar a base de maca preta em pé de 4
agricultura bioldgica em capsula vegetal. Quantidade liquida — 8
120 cdpsulas =80 g ey ; —
Toma didria recomendada. 3 cdpsulas ao dia. ESiEER02eMaAgriaultuaEne R ——
Modo de utilizagdo. Consumir 3 cdpsulas ao dia com auxilio PESO NETO/QUANTIDADE LIQUIDA I ~O)
de liquido. i o

Adverténcias. Ndo debe ser excedida a toma didria indicada. ® B I o ® 120 CipsuLas=80¢ ———
Os suplementos alimentares ndo devem ser utilizados como — LN
substitutos de um regime alimentar variado e um estilo de En capsulas 2;;52?;1;}140 goLr %54[55 14 ———— g
vida sauddvel. Manter fora do alcance das criangas. Em capsulas G

Produto 100% vegetal e adequado para vegans. 5525?53\%%% %5757‘;& 46380 ~
Armazenar em local fresco e seco. % HESP

Lote/Consumir de preferéncia antes do fim de: 0

wassyhimalaya.com
"
104462,https://m.media-amazon.com/images/I/71aE-341lFL.jpg,373285,item_weight,"Green Power Superfoods '
o

3 26 Superfoods 0

u.a. mit Weizengras, Brennnessel
und Spirulinapulver .

%6

Weizengras Brennnessel spirulinapu ! .

senextiake!

Na 5
hrungse@anzungsmittel mit P€ag
und SiBungsmitteln

Inhalt: 3609 packung enthat®

Www.vitacare-europe.c0'
"
104463,https://m.media-amazon.com/images/I/71t-yHKdCFL.jpg,373285,item_weight,"Green Power Superfoods |

26 Superfoods

[
u.3. mit Weizengras, Brennnessel L
und Spirulinapulver

@

-

S

® 'Ghungserganzungsmittel mit pilanzenextiakel  §
und SuBungsmitteln

lnhalt: 3609 Packung enthalt 30 portionen

"
104464,https://m.media-amazon.com/images/I/81jOOTZ0MwL.jpg,373285,item_weight,"MILCHSAUREBAKTERIEN

(]

|

Vita\Care
|

]

[}

Red Power Superfoods

20 Superfoods ()
U.a. mit Guarana Frucht, Gojibeeren .
. und Heidelbeeren

Nahrungserganzungsmit

Www.vitacare-europ

\

it
5<%
-_— - - B .

-
Vi E&;?

|
Green power Supeffoods'

) 26 Superfoods (]

U.a. mit Weizengras, grennnesse!
und Spirulinapulver .

Yahryn, o
Jserganzungsmittel mit P!
und SaBungsmitteln

"
104465,https://m.media-amazon.com/images/I/71qrDKDx5uL.jpg,281678,item_weight,"oGl

BIOLOGIQUE

Découvrez nos infusions

Plaisir. Inspiration. Equilibre
"
104466,https://m.media-amazon.com/images/I/91Mr1rZFDmL.jpg,844474,item_weight,"Material : Waterproof PU leather
Weight: 1.87 Ib.

With reference for A4 magazine

"
104467,https://m.media-amazon.com/images/I/61eMuzFA-WL.jpg,709627,voltage,"Li-ion Battery
7.4V 3800mAh/28.12Wh
MODEL:BL - 5L

USE SPECIFIED BAOFENG CHARGER ONLY.

THE DAMAGE OR PLACED N THE FIRE
MIGHT EXPLODE,

DO NOT DISASSEMBLE,
DO NOT SHORT-CIRCUT.

BAOFENG ELECTRON CO.LTO

3 & X 0

Baofeng's Choice
£> ABBREE

"
104468,https://m.media-amazon.com/images/I/61lmNC-COJL.jpg,709627,voltage,"— SAOFENLG

Up to 3 days of battery life!
Can be combined with
USB charger cable or
car charger to charge!
Charge Full Anytime,
Anywhere!

BAOFENG

3800mAnh Large Battery
Extended Working Time
"
104469,https://m.media-amazon.com/images/I/91dCpFg5cvL.jpg,107694,item_weight,"CHILD
ENFANT
NINO
>33-55 Ibs
(>15-25 kg)

Life Jacket and swim aid in one—great for the
lake, pool or beach

Gilet de sauvetage et ac
combinés. Idéal pour |
alapiscine ou a la plage

Chaleco salvavidas y ayuda para /\
nadar, todo en uno. [deal para
lagos, piscinas o playas

ssoire de natation
baignades au lac,

-omfortable design, soft
fabric ar
€ e, tissu doux |

hebilla trasera ajust
un ajuste

A o
APPROVED

Transport Canada

"
104470,https://m.media-amazon.com/images/I/71K6E-aLQ3L.jpg,192132,item_weight,"CONTENT / INHALT / CONTENU

CrRAZE SLADE INSTRUCTION

STARTING-
corD

ASSEMBLING TOOL
"
104471,https://m.media-amazon.com/images/I/61zQG27Y5mL.jpg,318770,wattage,"¥ = R

QC3.0 4.8Gpbs 15000+
"
