index, prediction
0,10 gram
1,10 gram
2,10 gram
3,10 gram
4,10 gram
5,550 pound
6,10 gram
7,10 gram
8,20.0 cup
9,10 gram
10,10 gram
11,10 gram
12,10 gram
13,10 gram
14,10 gram
15,10 gram
16,10 gram
17,544 kilogram
18,10 gram
19,10 gram
20,10 gram
21,10 gram
22,10 gram
23,46.0 litre
24,10 gram
25,10 gram
26,2.13 pound
27,400.0 gram
28,10 gram
29,25.0 pound
30,150 pound
31,10 gram
32,10 gram
33,10 gram
34,1800 pound
35,2.271 gram
36,10 gram
37,10 gram
38,10 gram
39,10 gram
40,10 gram
41,10 gram
42,10 gram
43,10 gram
44,10 gram
45,10 gram
46,10 gram
47,10 gram
48,10 gram
49,10 gram
50,10 gram
51,10 gram
52,10 gram
53,10 gram
54,0.56 pound
55,10 gram
56,23.0 gram
57,23.0 gram
58,5.0 fluid ounce
59,10 gram
60,10 gram
61,10 gram
62,10 gram
63,10 gram
64,10 gram
65,10 gram
66,10 gram
67,10 gram
68,10 gram
69,10 gram
70,10 gram
71,10 gram
72,0.8 ounce
73,10 gram
74,10 gram
75,10 gram
76,10 gram
77,10 gram
78,10 gram
79,10 gram
80,10 gram
81,10 gram
82,10 gram
83,10 gram
84,10 gram
85,10 gram
86,10 gram
87,10 gram
88,10 gram
89,142 gram
90,142 gram
91,10 gram
92,10 gram
93,10 gram
94,10 gram
95,10 gram
96,10 gram
97,10 gram
98,10 gram
99,10 gram
100,10 gram
101,10 gram
102,10 gram
103,10 gram
104,10 gram
105,10 gram
106,10 gram
107,10 gram
108,10 gram
109,10 gram
110,10 gram
111,150 kilogram
112,150 kilogram
113,10 gram
114,6.0 pound
115,10 gram
116,10 gram
117,10 gram
118,10 gram
119,10 gram
120,10 gram
121,10 gram
122,10 gram
123,171 litre
124,10 gram
125,10 gram
126,10 gram
127,10 gram
128,10 gram
129,10 gram
130,3.8 pound
131,10 gram
132,10 gram
133,10 gram
134,10 gram
135,10 gram
136,10 gram
137,10 gram
138,10 gram
139,10 gram
140,10 gram
141,10 gram
