index, prediction
0,9 millimetre
1,10 gram
2,10 gram
3,4.8 centimetre
4,4.8 centimetre
5,10 gram
6,10 gram
7,10 gram
8,10 gram
9,10 gram
10,45.0 centimetre
11,10 gram
12,10 gram
13,55 millimetre
14,55 millimetre
15,14 centimetre
16,14 centimetre
17,160 centimetre
18,10 gram
19,36.0 centimetre
20,36.0 centimetre
21,36.0 centimetre
22,9.5 inch
23,92 centimetre
24,92 centimetre
25,10 gram
26,10 gram
27,10 centimetre
28,10 gram
29,10 gram
30,83 millimetre
31,83 millimetre
32,3.14 centimetre
33,3.14 centimetre
34,174 millimetre
35,174 millimetre
36,10 gram
37,100 centimetre
38,10 gram
39,4.0 centimetre
40,4.0 centimetre
41,14 centimetre
42,14 centimetre
43,10 gram
44,7.2 centimetre
45,7.2 centimetre
46,7.2 centimetre
47,10 gram
48,15.5 centimetre
49,15.5 centimetre
50,53 centimetre
51,53 centimetre
52,53 centimetre
53,99 centimetre
54,99 centimetre
55,7 foot
56,7 foot
57,7 foot
58,10 gram
59,15 centimetre
60,15 centimetre
61,10 gram
62,42 centimetre
63,3.93 centimetre
64,3.93 centimetre
65,120.0 centimetre
66,10 gram
67,10 gram
68,100 centimetre
69,100 centimetre
70,100 centimetre
71,25.5 centimetre
72,10 gram
73,10 gram
74,10 gram
75,10 gram
76,10 gram
77,10.3 centimetre
78,103 millimetre
79,10 gram
80,10 gram
81,10 gram
82,10 gram
83,10 gram
84,10 gram
85,10 gram
86,10 gram
87,6.0 foot
88,14 centimetre
89,14 centimetre
90,14 centimetre
91,10 gram
92,96 centimetre
93,96 centimetre
94,96 centimetre
95,130 millimetre
96,30.5 centimetre
97,30.5 centimetre
98,10.27 inch
99,16.8 centimetre
100,10 gram
101,10 gram
102,10 gram
103,10 gram
104,900 metre
105,900 metre
106,98 millimetre
107,98 millimetre
108,277 millimetre
109,21 centimetre
110,10 gram
111,36.0 centimetre
112,10 gram
113,10 gram
114,160 millimetre
115,8 centimetre
116,8 centimetre
117,10 gram
118,10 gram
119,2.8 centimetre
120,2.8 centimetre
121,10 gram
122,10 gram
123,10 gram
124,21.5 centimetre
125,21.5 centimetre
126,10 gram
127,10 gram
128,10 gram
129,10 gram
130,24 centimetre
131,24 centimetre
132,800 millimetre
133,800 millimetre
134,15 centimetre
135,95 centimetre
136,228 centimetre
137,228 centimetre
138,10 gram
139,10 gram
140,10 gram
141,123 millimetre
142,12.5 centimetre
143,10 gram
144,10 gram
145,10 gram
146,32.0 centimetre
147,10 gram
148,15 centimetre
149,10 gram
150,23.62 inch
151,149 millimetre
152,149 millimetre
153,16 centimetre
154,16 centimetre
155,15 centimetre
156,15 centimetre
157,10 gram
158,10 gram
159,10 gram
160,4.05 centimetre
161,4.05 centimetre
162,10 gram
163,10 gram
164,10 gram
165,10 gram
166,10 gram
167,8.9 centimetre
168,8.9 centimetre
169,8.9 centimetre
170,10 gram
171,10 gram
172,10 gram
173,10 gram
174,18 centimetre
175,10 gram
176,18 centimetre
177,18 centimetre
178,18 centimetre
179,10 gram
180,38 millimetre
181,38 millimetre
182,38 millimetre
183,61 centimetre
184,61 centimetre
185,10 gram
186,10 gram
187,10 gram
188,10 gram
189,10 gram
190,10 gram
191,10 gram
192,10 gram
193,10 gram
194,10 gram
195,11.8 centimetre
196,110 centimetre
197,10 gram
198,10 gram
199,10 gram
200,10 gram
201,200 centimetre
202,200 centimetre
203,35 millimetre
204,35 millimetre
205,35 millimetre
206,20 centimetre
207,20 centimetre
208,5.1 centimetre
209,5.1 centimetre
210,5.1 centimetre
211,10 gram
212,10 gram
213,10 gram
214,10 gram
215,10 gram
216,30 centimetre
217,10 gram
218,33.0 pound
219,147 centimetre
220,10 gram
221,10 gram
222,10 gram
223,10 gram
224,2.0 centimetre
225,2.0 centimetre
226,4 centimetre
227,15.0 centimetre
228,10 gram
229,10 gram
230,10 gram
231,55.0 centimetre
232,10 gram
233,15.0 centimetre
234,15.0 centimetre
235,15.0 centimetre
236,10 gram
237,10 gram
238,10 gram
239,10 gram
240,10 gram
241,10 gram
242,10 gram
243,10 gram
244,10 gram
245,1.65 inch
246,10 gram
247,10 gram
248,10 gram
249,10 gram
250,65.0 centimetre
251,65.0 centimetre
252,65.0 centimetre
253,10 gram
254,10 gram
255,12.6 inch
256,10 gram
257,10 gram
258,274 centimetre
259,10.5 centimetre
260,10 gram
261,10 gram
262,192 centimetre
263,10 gram
264,10 gram
265,10 gram
266,247.0 centimetre
267,78 centimetre
268,78 centimetre
269,181.61 centimetre
270,575 millimetre
271,575 millimetre
272,36.5 centimetre
273,36.5 centimetre
274,10 gram
275,10 gram
276,10 gram
277,10 gram
278,10 gram
279,10 gram
280,10 gram
281,10 gram
282,10 gram
283,10 gram
284,200 millimetre
285,30 centimetre
286,30 centimetre
287,33.85 inch
288,33.85 inch
289,33.85 inch
290,10 gram
291,35 centimetre
292,35 centimetre
293,274 centimetre
294,274 centimetre
295,16 centimetre
296,16 centimetre
297,16 centimetre
298,10 gram
299,10 gram
300,10 gram
301,10 gram
302,11.4 centimetre
303,11.4 centimetre
304,44 centimetre
305,44 centimetre
306,2.25 inch
307,2.25 inch
308,7.9 centimetre
309,150 centimetre
310,150 centimetre
311,10 gram
312,10 gram
313,11.5 centimetre
314,11.5 centimetre
315,176.0 millimetre
316,61 millimetre
317,61 millimetre
318,24.0 centimetre
319,10 gram
320,8 millimetre
321,10 gram
322,10 gram
323,10 gram
324,10 gram
325,10 gram
326,10 gram
327,10 gram
328,112 millimetre
329,112 millimetre
330,10 gram
331,471.0 millimetre
332,110 centimetre
333,60 centimetre
334,60 centimetre
335,60 centimetre
336,10 gram
337,3.0 centimetre
338,3.0 centimetre
339,3.0 centimetre
340,10 gram
341,9.8 centimetre
342,9.8 centimetre
343,6 foot
344,10 gram
345,87.88 centimetre
346,10 gram
347,10 gram
348,420 millimetre
349,35 centimetre
350,35 centimetre
351,35 centimetre
352,10 gram
353,560.0 millimetre
354,80 centimetre
355,10 gram
356,1043.0 inch
357,1043.0 inch
358,4.33 inch
359,10 gram
360,10 gram
361,10 gram
362,10 gram
363,10 gram
364,10 gram
365,10 gram
366,10 gram
367,10 gram
368,13 centimetre
369,12.5 centimetre
370,12.5 centimetre
371,19 centimetre
372,19 centimetre
373,19 centimetre
374,10.5 centimetre
375,65.0 centimetre
376,58 inch
377,10 gram
378,10 gram
379,10.0 centimetre
380,10.0 centimetre
381,10 gram
382,22 metre
383,22 metre
384,22 metre
385,162.0 millimetre
386,10 gram
387,10 gram
388,10 gram
389,90.0 millimetre
390,100 centimetre
391,4.5 inch
392,4.5 inch
393,4.5 inch
394,31 centimetre
395,10 gram
396,41 centimetre
397,10 gram
398,8.5 centimetre
399,10 gram
400,10 gram
401,10 gram
402,10 gram
403,20 centimetre
404,13 foot
405,13 foot
406,10 gram
407,10 gram
408,130.0 centimetre
409,130.0 centimetre
410,10 gram
411,34.0 centimetre
412,10 gram
413,7.7 centimetre
414,7.7 centimetre
415,98 millimetre
416,98 millimetre
417,10 gram
418,17.5 centimetre
419,17.5 centimetre
420,10 gram
421,10 gram
422,10 gram
423,220 centimetre
424,4.0 centimetre
425,4.0 centimetre
426,10 gram
427,10 gram
428,10 gram
429,4.0 inch
430,189 millimetre
431,10 gram
432,5.1 centimetre
433,10 gram
434,70 centimetre
435,10 gram
436,9.2 centimetre
437,9.2 centimetre
438,9.2 centimetre
439,10 gram
440,10 gram
441,10 gram
442,10 gram
443,10 gram
444,10 gram
445,3.54 inch
446,40 centimetre
447,10 gram
448,10 gram
449,3.15 inch
450,3.15 inch
451,3.15 inch
452,19 inch
453,19 inch
454,19 inch
455,10 gram
456,10 gram
457,25 centimetre
458,25 centimetre
459,60 centimetre
460,60 centimetre
461,10 gram
462,10 gram
463,220 pound
464,22.7 centimetre
465,10 gram
466,120 millimetre
467,10 gram
468,200.0 metre
469,200.0 metre
470,34 centimetre
471,34 centimetre
472,10 gram
473,10 gram
474,10 gram
475,6 inch
476,6 inch
477,6 centimetre
478,39 centimetre
479,10 gram
480,10 gram
481,10 gram
482,10 gram
483,22.0 centimetre
484,10 gram
485,6.5 inch
486,6.5 inch
487,6.5 inch
488,10 gram
489,10 gram
490,10 gram
491,10 gram
492,10 gram
493,10 gram
494,48 centimetre
495,10 gram
496,12.5 millimetre
497,63 millimetre
498,63 millimetre
499,10 gram
500,10 gram
501,10 gram
502,34.3 centimetre
503,10 gram
504,10 gram
505,10 gram
506,25 centimetre
507,25 centimetre
508,10 gram
509,10 gram
510,10 gram
511,60 millimetre
512,60 millimetre
513,50.0 centimetre
514,50.0 centimetre
515,17 centimetre
516,6.8 centimetre
517,6.8 centimetre
518,6.8 centimetre
519,10 gram
520,10 gram
521,10 gram
522,33.8 litre
523,10 gram
524,10 gram
525,10 gram
526,10 gram
527,10 gram
528,32 centimetre
529,32 centimetre
530,10 gram
531,10 gram
532,10 gram
533,10 gram
534,10 gram
535,10 gram
536,10 gram
537,10 gram
538,5 foot
539,5 foot
540,10 gram
541,10 gram
542,10 gram
543,14.4 centimetre
544,14.4 centimetre
545,130 millimetre
546,10 gram
547,10 gram
548,10 gram
549,71.0 centimetre
550,71.0 centimetre
551,89 centimetre
552,25 millimetre
553,25 millimetre
554,202 millimetre
555,202 millimetre
556,10 gram
557,140.0 centimetre
558,10 gram
559,220 milligram
560,10 gram
561,10 gram
562,10 gram
563,29 centimetre
564,10 gram
565,10 gram
566,10 gram
567,10 gram
568,10 gram
569,10 gram
570,10 gram
571,38.5 centimetre
572,10 gram
573,10 gram
574,10 gram
575,10 gram
576,170.0 centimetre
577,10 gram
578,36.5 centimetre
579,10 gram
580,10 gram
581,43 centimetre
582,43 centimetre
583,3.7 gram
584,38 centimetre
585,38 centimetre
586,75.0 centimetre
587,75.0 centimetre
588,13.5 centimetre
589,13.5 centimetre
590,115 centimetre
591,10 gram
592,10 gram
593,10 gram
594,10 gram
595,68 millimetre
596,19 centimetre
597,19 centimetre
598,10 gram
599,10 gram
600,10 gram
601,10 gram
602,26.0 centimetre
603,26.0 centimetre
604,10 gram
605,10 gram
606,45 centimetre
607,45 centimetre
608,10 gram
609,10 gram
610,14.8 centimetre
611,14.8 centimetre
612,100.0 gram
613,29 centimetre
614,29 centimetre
615,10 gram
616,10 gram
617,132 millimetre
618,10 gram
619,10 gram
620,10 gram
621,10 gram
622,10 gram
623,10 gram
624,10 gram
625,10 gram
626,10 gram
627,10 gram
628,10 gram
629,10 gram
630,10 gram
631,10 gram
632,10 gram
633,10 gram
634,10 gram
635,10 gram
636,10 gram
637,10 gram
638,10 gram
639,10 gram
640,10 gram
641,10 gram
642,10 gram
643,10 gram
644,10 gram
645,10 gram
646,10 gram
647,10 gram
648,10 gram
649,10 gram
650,10 gram
651,10 gram
652,10 gram
653,10 gram
654,10 gram
655,10 gram
656,10 gram
657,10 gram
658,10 gram
659,10 gram
660,10 gram
661,10 gram
662,10 gram
663,10 gram
