index,image_link,group_id,entity_name,text
index,image_link,group_id,entity_name,text
image_id,image_link,group_id,entity_name,text
17333,https://m.media-amazon.com/images/I/71aiAhWT9DL.jpg,654649,item_weight,"Pure magnetic: 52Pcs
Other accessories: 46Pcs

Number card 16 @

Ferris wheel 1

woag 9
wogy

Sqiare 24

5 5cm

Alphabet card 26 h

Equilateral triangle 20

6 5cm \

Hexagon 2

wogy

Carwheel 2

Gifxbox 1

Semicircle 2

6.5cm

wog'e
M

Small rectangle 2 Isosceles triangle 4
"
17334,https://m.media-amazon.com/images/I/81qWSITEz0L.jpg,375816,item_weight,"REFRESHING ICED COFFEE IN JUST 3 STEPS
I 2 3

FILL ATUMBLER BREW ON ADD MILK,
WITH ICE 8 0Z. SETTING SWEETENER, OR BOTH!

(Do not use glass)

"
17335,https://m.media-amazon.com/images/I/71eLvnN1leL.jpg,426261,item_weight,"@—d—-_aﬂ—__&—-—@

(D 94cm/3.0ft @ 94cm/3.0ft

LINEWT. LUREWT. TOPDIA. BUTTDIA. WEIGHT
m/t  TYPE (Ib) (02) (mm/in)  (mm/in) (g/oz)  SECTIONS

1.8/6  Casting 8-12 1/8-3/4 3/0.11 11/0.43 133/4.7 2

6.6cm/2.59in

N

3.5cm/1.37in E
— -

7cm/2.75in
10.5cm/4.13in

¥

2.6em/1.02in |9 1.8cm/0.7in

Ball Bearings: 12+1 Gear Ratio:8.1:1 Weight: 2159/7.580z
Brake Drag(kg) 8  Aluminum Spool Weight(g/oz) 21/0.74
Line Capacity(mm/m) 0.26-2.5#-210 0.28-3.0#-180 0.30-3.5#-140
"
17336,https://m.media-amazon.com/images/I/614RHlJXheL.jpg,675317,item_weight,"2000 Times to 15000 Cycles Swithch

"
17337,https://m.media-amazon.com/images/I/61l-qks-9NL.jpg,709627,item_weight,"LIGHTER BUT POWERFUL
STARDERD SIZE

Go for this if you want to reduce concerns about battery weight

Voltage Capacity Size
1.5V 3000mMAH 49x14.5mm
"
17338,https://m.media-amazon.com/images/I/91rPUn+ohBL.jpg,254449,item_volume,"ACHTUNG! MAGNESIUM-OXID vs. CITRAT

ATTENTION! MAGNESIUM OXIDE vs. CITRATE ¢4

MAGNESIUM
CITRATE

MAGNESIUM OXID | OXIDE MAGNESIUM CITRAT | CITRATE

wird gleichmiiflig iiber lingeren Zeitraum im schnelle Aufnahme lisst den Magnesiumspiegel
V Darm aufgenommen kurzfristig ansteigen
is evenly absorped in the intestinge over a longer rapid absorption causes the magnesium level to
period of time rise briefly
V hilft damic langfristig die Magnesiumspeicher durch die kurze Verweildauer im Kérper kénnen
aufzubauen und zu erhalten (Shecheer et al. (2z012) die Speicherdepots kaum aufgefiillc werden
helps to build up and replenish magnesium ue to the short retention time in the body, the
storage depots storage depots can hardly be filled
V in der Natur kommt Magnesium hauptsichlich in in der Natur kommyt es als organisches Salz
anorganischer Form als Oxid vor (Citrat) nur sehr selcen vor
in nature, magnesium mainly occurs in inorganic in nature it occurs only very rarely as organic salt

form as oxide
"
17339,https://m.media-amazon.com/images/I/61XMuphtaML.jpg,752266,wattage,"T l00m
"
17340,https://m.media-amazon.com/images/I/814jBPECU2L.jpg,752266,wattage,"-~ Working Temperaure Range

100w P67

bod
"
