index, prediction
0,185.0 inch
1,10 gram
2,10 gram
3,35 centimetre
4,127 centimetre
5,127 centimetre
6,10 gram
7,10 gram
8,10 gram
9,10 gram
10,7.9 centimetre
11,1.96 centimetre
12,1.96 centimetre
13,13.5 centimetre
14,10 gram
15,15 centimetre
16,15 centimetre
17,10 gram
18,10 gram
19,158 centimetre
20,10 gram
21,6.5 centimetre
22,160 centimetre
23,160 centimetre
24,10 gram
25,10 gram
26,10 gram
27,10 gram
28,10 gram
29,10 gram
30,10 gram
31,10 gram
32,10 gram
33,10 gram
34,150 centimetre
35,150 centimetre
36,10 gram
37,10 gram
38,10 gram
39,10 gram
40,5.9 inch
41,5.9 inch
42,5.9 inch
43,10 gram
44,10 gram
45,10 gram
46,10 gram
47,19.0 centimetre
48,10 gram
49,10 gram
50,24 centimetre
51,24 centimetre
52,3 inch
53,3 inch
54,20.0 centimetre
55,20.0 centimetre
56,6.0 centimetre
57,10 gram
58,10 gram
59,10.0 gram
60,50.7 centimetre
61,305 centimetre
62,305 centimetre
63,90 centimetre
64,90 centimetre
65,15.0 gram
66,195 millimetre
67,195 millimetre
68,34.5 centimetre
69,34.5 centimetre
70,15.5 centimetre
71,15.5 centimetre
72,42.8 millimetre
73,42.8 millimetre
74,10 gram
75,10 gram
76,10 gram
77,10 gram
78,83 millimetre
79,10 gram
80,10 gram
81,10 gram
82,10 gram
83,10 gram
84,10 gram
85,36 centimetre
86,36 centimetre
87,36 centimetre
88,10 gram
89,0 litre
90,10 gram
91,120 gram
92,10 gram
93,137.0 centimetre
94,10 gram
95,2.0 volt
96,2600 millimetre
97,10 gram
98,40.0 centimetre
99,10 gram
100,10 gram
101,9.5 centimetre
102,9.5 centimetre
103,7.87 inch
104,7.87 inch
105,7.87 inch
106,49 centimetre
107,10 gram
108,9.5 inch
109,9.5 inch
110,11 centimetre
111,10 gram
112,10 gram
113,10 gram
114,50 centimetre
115,50 centimetre
116,10 gram
117,10 gram
118,18.0 inch
119,4.69 inch
120,4.69 inch
121,10 gram
122,42 ounce
123,53 centimetre
124,32 millimetre
125,32 millimetre
126,88.9 centimetre
127,10 gram
128,12 centimetre
129,12 centimetre
130,10 gram
131,10 gram
132,72.0 centimetre
133,10 gram
134,10 gram
135,10 gram
136,10 gram
137,10 gram
138,10 gram
139,10 centimetre
140,10 centimetre
141,24 inch
142,24 inch
143,18 inch
144,10 gram
145,10 gram
146,10 gram
147,10 gram
148,10 gram
149,10 gram
150,10 gram
151,10 gram
152,10 gram
153,8.5 inch
154,8.5 inch
155,8.5 inch
156,10 gram
157,10 gram
158,3.03 centimetre
159,3.03 centimetre
160,12 centimetre
161,12 centimetre
162,85 centimetre
163,85 centimetre
164,10 gram
165,10 gram
166,10 gram
167,10 gram
168,10 gram
169,100 centimetre
170,10 gram
171,16.0 centimetre
172,16.0 centimetre
173,4.5 centimetre
174,18.0 centimetre
175,18.0 centimetre
176,2.16 centimetre
177,2.16 centimetre
178,29 centimetre
179,29 centimetre
180,13 centimetre
181,13 centimetre
182,10 gram
183,112 millimetre
184,9.0 foot
185,8.86 inch
186,10 gram
187,10 gram
188,50 centimetre
189,50 centimetre
