index, prediction
0,10 gram
1,10 gram
2,10 gram
3,10 gram
4,10 gram
5,10 gram
6,10 gram
7,10 gram
8,10 gram
9,10 gram
10,10 gram
11,10 gram
12,10 gram
13,10 gram
14,52 centimetre
15,10 gram
16,10 gram
17,10 gram
18,10 gram
19,10 gram
20,4.4 inch
21,10 gram
22,10 gram
23,10 gram
24,4.3 centimetre
25,4.3 centimetre
26,10 gram
27,10 gram
28,10 gram
29,10 gram
30,10 gram
31,10 gram
32,10 gram
33,10 gram
34,10 gram
35,10 gram
36,100 millimetre
37,100 millimetre
38,10 gram
39,295.0 gram
40,760 gram
41,760 gram
42,10 gram
43,60 centimetre
44,60 centimetre
45,10 gram
46,15.0 metre
47,15.0 metre
48,15.0 metre
49,98 centimetre
50,98 centimetre
51,10 gram
52,10 gram
53,10 gram
54,10 gram
55,10 gram
56,10 gram
57,10 gram
58,25 centimetre
59,25 centimetre
60,25 centimetre
61,10 gram
62,10 gram
63,10 gram
64,10 gram
65,17.3 centimetre
66,10 gram
67,19.0 centimetre
68,10 gram
69,10 gram
70,3.0 centimetre
71,3.0 centimetre
72,20.0 centimetre
73,20.0 centimetre
74,10 gram
75,76 centimetre
76,10 gram
77,10 gram
78,10 gram
79,3.1 centimetre
80,3.1 centimetre
81,10 gram
82,10 gram
83,10 gram
84,10 gram
85,10 gram
86,10 gram
87,8.8 centimetre
88,10 gram
89,10 gram
90,10 gram
91,9.84 centimetre
92,9.84 centimetre
93,236.0 centimetre
94,76 centimetre
95,10 gram
96,10 gram
97,10 gram
98,218 centimetre
99,10 gram
100,2.0 litre
101,11.2 centimetre
102,11.2 centimetre
103,10 gram
104,10 gram
105,10 gram
106,12.0 centimetre
107,12.0 centimetre
108,20.0 gram
109,10 gram
110,23.0 centimetre
111,23.0 centimetre
112,10 gram
113,10 gram
114,10 gram
115,10 gram
116,20 millimetre
117,68.0 centimetre
118,160 millimetre
119,160 millimetre
120,98.0 centimetre
121,10 gram
122,10 gram
123,10 gram
124,38.8 millimetre
125,38.8 millimetre
126,10 gram
