index, prediction
0,10 gram
1,10 gram
2,10 gram
3,10 gram
4,100.0 kilogram
5,66 centimetre
6,10 gram
7,920.0 centimetre
8,920.0 centimetre
9,10 gram
10,10 gram
11,10 gram
12,10 gram
13,40.5 millimetre
14,40.5 millimetre
15,10 centimetre
16,10 gram
17,38 inch
18,2 centimetre
19,10 gram
20,30 metre
21,12 centimetre
22,12 centimetre
23,10 gram
24,10 gram
25,10 gram
26,10 gram
27,10 gram
28,10 gram
29,11.0 inch
30,7.3 millimetre
31,7.3 millimetre
32,10 gram
33,10 gram
34,21 centimetre
35,12.8 centimetre
36,6.5 inch
37,6.5 inch
38,135 metre
39,135 metre
40,135 metre
41,16.1 inch
42,16.1 inch
43,17 centimetre
44,10 gram
45,10 gram
46,10 gram
47,9.9 inch
48,9.9 inch
49,10 gram
50,10 gram
51,13.5 centimetre
52,10 gram
53,10 gram
54,10 gram
55,10 gram
56,10.0 foot
57,10.0 foot
58,10 gram
59,10 gram
60,10 gram
61,10 gram
62,6.8 centimetre
63,6.8 centimetre
64,10 gram
65,10 gram
66,10 gram
67,10 gram
68,10 gram
69,10 gram
70,10 gram
71,60.0 foot
72,60.0 foot
73,4.5 centimetre
74,4.5 centimetre
75,10 gram
76,10 gram
77,10 gram
78,10 gram
79,10 gram
80,290 millimetre
81,290 millimetre
82,10 gram
83,10 gram
84,15.0 centimetre
85,15.0 centimetre
86,10 gram
87,10 gram
88,10 gram
89,50.0 centimetre
90,37 centimetre
91,37 centimetre
92,37 centimetre
93,10 gram
94,10 gram
95,10 gram
96,10 gram
97,10 gram
98,100 centimetre
99,100 centimetre
100,10 gram
101,10 inch
102,10 inch
103,10 inch
104,49 inch
105,24.2 inch
106,10 gram
107,10 gram
108,10 gram
109,10 gram
110,10 gram
111,10 gram
112,35.0 centimetre
113,35.0 centimetre
114,115 millimetre
115,3.93 inch
116,177.0 centimetre
117,6.1 inch
118,3 inch
119,3.3 centimetre
120,3.3 centimetre
121,33 centimetre
122,9.8 centimetre
123,9.8 centimetre
124,29 centimetre
